country,Trade Balance (% of GDP),Government Revenue (% of GDP),GDP per Capita (in USD),Military Expenditure (in million USD),Int'l Tourist Arrivals,Dog Ownership,Cat Ownership,Bird Ownership,Aquaria Ownership,Smal Mammal Ownership,Terraria Ownership,Movie Production,Global Box Office (in USD),Air Quality,Hapiness Score,Life expectancy at birth,Mean years of schooling,Income per capita,Gender Inequality Index
Qatar,25.98,39.63,97433.55,11593.41,582000,,,,,,,68,"15,418,276",59.04,,79.3,10,"87,134",0.22
Republic of Congo,21.16,31.34,4140.9,313.06,,,,,,,,,,29.48,,63.5,6.2,"2,889",0.564
Romania,-9.28,30.98,32793.82,5563.28,5023000,,4371000,292000,150000,93000,32000,216,"232,674,822",13.3,6.589,74.2,11.3,"30,027",0.282
Russia,10.27,34.31,28170.79,65907.71,6359000,,23150000,3280000,3750000,6601000,1076000,"1,337","2,760,627,680",8.88,5.661,69.4,12.8,"27,166",0.203
Rwanda,-11.62,25.22,2427.74,164.02,,,,,,,,4,"261,759",35.66,,66.1,4.4,"2,210",0.388
Saint Kitts and Nevis,-5.04,51.56,23389.35,,,,,,,,,,,8.05,,71.7,8.7,"23,358",  
Saint Lucia,-6,22.54,14692.71,,,,,,,,,,,8.98,,71.1,8.5,"12,048",0.381
Saint Vincent and the Grenadines,-22.88,27.62,13707.76,,,,,,,,,,,9.41,,69.6,10.8,"11,961",0.39
Samoa,-11.63,38.51,4944.8,,23900,,,,,,,1,"4,266",7.78,,72.8,11.4,"5,308",0.418
San Marino,4.35,22.02,63803,,,,,,,,,,,9.85,,80.9,10.8,"52,654",  
Sao Tome and Principe,-13.78,31.88,3983.57,,,,,,,,,,,33.75,,67.6,6.2,"4,021",0.494
Saudi Arabia,13.79,30.57,52345.98,55564.27,,,,,,,,22,"18,043,536",57.16,6.463,76.9,11.3,"46,112",0.247
Senegal,-16,20.74,3494.56,473.97,,,,,,,,20,"6,642,683",38.21,4.855,67.1,2.9,"3,344",0.53
Serbia,-6.86,43.38,20258.03,1270.78,446000,,,,,,,61,"18,883,910",21.74,6.144,74.2,11.4,"19,123",0.131
Seychelles,-7.26,31.88,31411.05,22.82,124500,,,,,,,,,16.96,,71.3,10.3,"25,831",  
Sierra Leone,-10.26,19.32,1681.63,27.27,,,,,,,,1,0,39.42,3.138,60.1,4.6,"1,622",0.633
Singapore,19.33,15.85,108036.11,11115.32,2742000,,,,,,,39,"43,494,364",13.33,6.587,82.8,11.9,"90,919",0.04
Slovakia,-4.29,40.74,33444.82,1983.21,,,,,,,,,,15.89,6.469,74.9,12.9,"30,690",0.18
Slovenia,-0.42,43.09,42395.68,734.39,1216000,295000,455000,40000,35000,85000,3500,54,"10,963,049",14.08,6.65,80.7,12.8,"39,746",0.071
Solomon Islands,-13.29,29.42,1969.03,,4400,,,,,,,1,0,7.83,,70.3,5.7,"2,482",  
Somalia,-16.83,8.85,1120.81,113.54,,,,,,,,3,"157,071",14.28,,55.3,  ,"1,018",  
South Africa,-0.48,27.7,13312.19,3265.56,3886600,7400000,2000000,,,,,180,"608,903,753",19.75,5.275,62.3,11.4,"12,948",0.405
South Korea,1.79,26.98,45509.89,50226.95,2519000,,,,,,,"1,899","9,667,943,270",24.04,5.951,83.7,12.5,"44,501",0.067
South Sudan,6.73,29.8,409.86,170.38,,,,,,,,,,20.18,,55,5.7,768,0.587
Spain,1.06,43.35,39899.45,19544.47,36410000,9313000,5859000,6991000,691000,1523000,1464000,"1,870","4,403,521,357",9.34,6.436,83,10.6,"38,354",0.057
Sri Lanka,-1.94,8.49,12096.78,1563.05,540000,,,,,,,7,"355,709",23.88,4.442,76.4,10.8,"12,578",0.383
Sudan,-6.22,10.06,3697.97,375.21,,,,,,,,6,"168,347",21.43,,65.3,3.8,"3,575",0.553
Suriname,-1.72,28.04,14863.11,,,,,,,,,,,12.17,,70.3,9.8,"12,672",0.427
Sweden,4.26,47.46,55470.07,7887.36,1957000,1044000,1703000,309000,260000,494000,60000,338,"1,464,236,193",5.96,7.395,83,12.6,"54,489",0.023
Switzerland,9.84,33.82,71700.8,5738.4,,554000,1793000,304000,380000,655000,27000,287,"700,177,642",8.97,7.24,84,13.9,"66,933",0.018
Syria,,,,,,,,,,,,13,"212,604",25.14,,72.1,5.1,"4,192",0.477
Taiwan ,13.36,15.58,58565,,,,,,,,,,,,,,,,
Tajikistan,6.22,27.52,4185.98,81.71,,,,,,,,5,"1,776,779",53.65,5.33,71.6,11.3,"4,548",0.285
Tanzania,-4.57,14.97,2874.31,742.34,,,,,,,,9,"27,694",15.36,3.694,,,,
Thailand,-3.26,20.06,17914.65,6604.53,,,,,,,,146,"231,340,275",24.64,5.843,78.7,8.7,"17,030",0.333
Timor-Leste,-4.7,26.4,4639.85,39.22,,,,,,,,,,20.47,,67.7,5.4,"4,461",0.378
Togo,-2.84,17.82,2182.33,113.95,482000,,,,,,,,,35.66,4.137,61.6,5,"2,167",0.58
Tonga,-6.32,45.24,5662.8,,,,,,,,,,,7.52,,71,11.4,"6,822",0.631
Trinidad and Tobago,18.86,29.31,25471.13,207.68,141000,,,,,,,4,0,10.26,,73,11.6,"23,392",0.344
Tunisia,-8.55,28.31,10775.71,1250.45,2012000,,,,,,,27,"249,467,149",26.52,4.497,73.8,7.4,"10,258",0.259
