country,trade_balance_perGDP,gov_revenue_perGDP,GDP per capita (in USD),military_expenditure_mil,number-of-visitors,dog,cat,bird,aquaria,small-mammal,terraria,number-of-movies,global-box-office-usd
Singapore,19.33,15.85,108036.11,11115.32,2742000,,,,,,,39,"4,34,94,364"
Slovak Republic,-4.29,40.74,33444.82,1983.21,,,,,,,,,
Slovenia,-0.42,43.09,42395.68,734.39,1216000,295000,455000,40000,35000,85000,3500,54,"1,09,63,049"
Solomon Islands,-13.29,29.42,1969.03,,4400,,,,,,,1,0
Somalia,-16.83,8.85,1120.81,113.54,,,,,,,,3,"1,57,071"
South Africa,-0.48,27.7,13312.19,3265.56,3886600,7400000,2000000,,,,,180,"60,89,03,753"
South Sudan,6.73,29.8,409.86,170.38,,,,,,,,,
Spain,1.06,43.35,39899.45,19544.47,36410000,9313000,5859000,6991000,691000,1523000,1464000,"1,870","4,40,35,21,357"
Sri Lanka,-1.94,8.49,12096.78,1563.05,540000,,,,,,,7,"3,55,709"
St. Kitts and Nevis,-5.04,51.56,23389.35,,,,,,,,,,
St. Lucia,-6,22.54,14692.71,,,,,,,,,,
St. Vincent and the Grenadines,-22.88,27.62,13707.76,,,,,,,,,,
Sudan,-6.22,10.06,3697.97,375.21,,,,,,,,6,"1,68,347"
Suriname,-1.72,28.04,14863.11,,,,,,,,,,
Sweden,4.26,47.46,55470.07,7887.36,1957000,1044000,1703000,309000,260000,494000,60000,338,"1,46,42,36,193"
Switzerland,9.84,33.82,71700.8,5738.4,,554000,1793000,304000,380000,655000,27000,287,"70,01,77,642"
Syria,,,,,,,,,,,,13,"2,12,604"
Sao Tome and Principe,-13.78,31.88,3983.57,,,,,,,,,,
Taiwan ,13.36,15.58,58565,,,,,,,,,,
Tajikistan,6.22,27.52,4185.98,81.71,,,,,,,,5,"17,76,779"
Tanzania,-4.57,14.97,2874.31,742.34,,,,,,,,9,"27,694"
Thailand,-3.26,20.06,17914.65,6604.53,,,,,,,,146,"23,13,40,275"
The Bahamas,-14.18,21.23,34743.2,,,,,,,,,,
The Gambia,-15.02,16.84,2230.43,14.71,,,,,,,,,
Timor-Leste,-4.7,26.4,4639.85,39.22,,,,,,,,,
Togo,-2.84,17.82,2182.33,113.95,482000,,,,,,,,
